"ID","_id","text","count","str_id"
"[32853,20481586]",840417752900894720,"Pra namorar comigo tem que entender que se nao puxar papo nosso privado vai dar dengue , teia de aranha e enferrujar",109,"840417752900894720"
"[32853,20481587]",855956899409281024,"Se eu tiver com chikungunya e foder demais com a nega",110,"855956899409281024"
"[32853,20481588]",840359955102343168,"@wh_tkd eu nao bebo, e voce ta com dengue, so escuta o grave do dj leleco ai de cima",111,"840359955102343168"
"[32853,20481589]",848634515656499201,"Que porra de zika e essa meus amigos",112,"848634515656499201"
"[32853,20481590]",710431169771212804,"Helicoptero e utilizado no combate contra a dengue no Norte do RS: Aeronave da policia de Passo Fundo sera usa... https://t.co/KQ9zAhBD6t",113,"710431169771212804"
"[32853,20481591]",702536492430655488,"Aplicativo de celular ajuda municipios no combate ao mosquito da dengue https://t.co/1XF7kUBKcp via @siteES24HORAS",114,"702536492430655488"
"[32853,20481592]",707633616545832962,"RT @aciprensa: Zika: Matemos al mosquito y no a los bebes. exhorta Cardenal brasileo https://t.co/Hm4wx8CLTw",115,"707633616545832962"
"[32853,20481593]",706390424055898112,"Ginecologista em Sete Lagoas, Exames preventivos do cancer de colo de utero, deteccao do virus ZICA  - Fale c/ Ginecologista G001470",116,"706390424055898112"
"[32853,20481594]",706178220371132417,"Colombia contabiliza mais de 47.000 casos de zika; 8.890 em gravidas https://t.co/GvqskoPbi8",117,"706178220371132417"
"[32853,20481595]",857953967589908481,"Ningun mosquito testado en Florida ha dado positivo al zika en 2017 https://t.co/7SFzT26wve",118,"857953967589908481"
"[32853,20481596]",996530413014265856,"@globoesportecom Deixa a zika pro @Oledobrasil",119,"996530413014265856"
"[32853,20481597]",704541262372802561,"RT @likeazombie: nao querem discutir aborto nem em casos de estupro magina ser de boa com microcefalia https://t.co/ykXeNm0r5V",120,"704541262372802561"
"[32853,20481598]",990977816215867393,"@GenPauloChagas Funcoes do Exercito Brasileiro Hoje: distribuir sopao pros refugiados ilegais da Venezuela, ser baba do Haiti, Cacar o Mosquito da Dengue, Fazer Papel de Palhaco do Rio de Janeiro, Ficar twitando sobre o Lula e o STF, servir de Pedreiro em Rodovias Federais . E VIVA A REPUBLICA",121,"990977816215867393"
